RANK_DOUBLON;CODE_COMMUNE;ID_BASE_EXTERNE;CODE_IDENTIFIANT_EXTERNE;NOM_COMMUNE;NOMENCL_INSEE;NOMENCL_DEPARTEMENT;NOMENCL_REGION_INSEE;CODE_PAYS;CODE_BASSIN;CODE_CANTON;CODE_POSTAL;PLUS_UTILISE
0;1937;;;HAGUENAU;67180;67;44;1;;1587;67500;0
0;1140;;;HAILLES;80405;80;32;1;;860;80440;0
0;1637;;;HAILLICOURT;62400;62;32;1;;232;62940;0
0;1717;;;HAISNES;62401;62;32;1;;1376;62138;0
0;376;;;HALLENCOURT;80406;80;32;1;;767;80490;0
0;1394;;;HALLENNES LEZ HAUBOURDIN;59278;59;32;1;;558;59320;0
0;2831;;;HALLINES;62403;62;32;1;;696;62570;0
0;377;;;HALLOY;60295;60;32;1;;152;60210;0
0;3028;;;HALLU;80409;80;32;1;;860;80320;0
0;378;;;HALLUIN;59279;59;32;1;;426;59250;0
0;379;;;HAM;80410;80;32;1;;1227;80400;0
0;1335;;;HAM EN ARTOIS;62407;62;32;1;;1681;62190;0
0;2055;;;HAM LES MOINES;8206;8;44;1;;1207;8090;0
0;380;;;HAMELET;80412;80;32;1;;1399;80800;0
0;1691;;;HANCOURT;80413;80;32;1;;225;80240;0
0;3030;;;HANGEST EN SANTERRE;80415;80;32;1;;860;80134;0
0;1182;;;HANGEST SUR SOMME;80416;80;32;1;;563;80310;0
0;1655;;;HANNAPES;2366;2;32;1;;526;2510;0
0;2428;;;HANTAY;59281;59;32;1;;8;59496;0
0;3056;;;HANVOILE;60298;60;32;1;;152;60650;0
0;1534;;;HARAMONT;2368;2;32;1;;1404;2600;0
0;3138;;;HARAVESNES;62411;62;32;1;;1149;62390;0
0;381;;;HARBONNIERES;80417;80;32;1;;860;80131;0
0;3596;;;HARCIGNY;2369;2;32;1;;;2140;0
0;1774;;;HARDECOURT AUX BOIS;80418;80;32;1;;225;80360;0
0;2270;;;HARDINGHEN;62412;62;32;1;;500;62132;0
0;2302;;;HARDIVILLERS;60299;60;32;1;;1403;60120;0
0;382;;;HARFLEUR;76341;76;28;1;;1947;76700;0
0;1445;;;HARGICOURT;2370;2;32;1;;433;2420;0
0;3036;;;HARGNIES;59283;59;32;1;;1701;59138;0
0;383;;;HARLY;2371;2;32;1;;830;2100;0
0;1083;;;HARNES;62413;62;32;1;;1635;62440;0
0;384;;;HARY;2373;2;32;1;;641;2140;0
0;1241;;;HASNON;59284;59;32;1;;68;59178;0
0;2420;;;HASPRES;59285;59;32;1;;614;59198;0
0;1334;;;HAUBOURDIN;59286;59;32;1;;1652;59320;0
0;1018;;;HAUDIVILLERS;60302;60;32;1;;1129;60510;0
0;3377;;;HAUDRECY;8216;8;44;1;;400;8090;0
